https://api.eia.gov/v2/electricity/retail-sales/data/,,,"{""frequency"":""annual"",""data"":[""price""],""facets"":{""stateid"": [""AL"", ""AR"", ""AZ"", ""CA"", ""CO"", ""CT"", ""DC"", ""DE"", ""ENC"", ""ESC"", ""MD"", ""MA"", ""MAT"", ""LA"", ""KY"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""GA"", ""ESC"", ""AK"", ""AL"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""HI"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""MAT"", ""LA"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""LA"", ""MAT"", ""MA"", ""MD"", ""ME"", ""MI"", ""MN"", ""MO"", ""MS"", ""MTN"", ""MT"", ""NC"", ""ND"", ""NEW"", ""NE"", ""NH"", ""NJ"", ""NM"", ""NV"", ""NY"", ""OH"", ""OK"", ""OR"", ""PACC"", ""PACN"", ""PA"", ""RI"", ""SAT"", ""SC"", ""SD"", ""TN"", ""TX"", ""US"", ""UT"", ""VA"", ""VT"", ""WA"", ""WI"", ""WNC"", ""WSC"", ""WV"", ""WY""]},""start"":""2001"",""end"":""2019"",""sort"":[{""column"":""period"",""direction"":""desc""}],""offset"":0,""length"":5000}",,,
Category,Category,Frequency,Data,Facet,,
Electricity,Electricity Sales to Ultimate Customers,annual,price,State / Census Region,,
electricity,retail-sales,annual,price,stateid,,
,,,,AL,,
,,,,AR,,
,,,,AZ,,
Date Controls,Enter Date Below,,,CA,,
Format:,YYYY,,,CO,,
Start:,2001,,,CT,,
End:,2019,,,DC,,
,,,,DE,,
,,,,ENC,,
,,,,ESC,,
,,,,MD,,
,,,,MA,,
,,,,MAT,,
,,,,LA,,
,,,,KY,,
Row Controls,,,,KS,,
Total Rows Available:,6954,,,IN,,
Rows to Return:,5000,,,IL,,
Data Chunk#:,0,,,ID,,
Starting Row:,40,,,IA,,
,,,,HI,,
,,,,GA,,
,,,,ESC,,
,,,,AK,,
,,,,AL,,
,,,,AZ,,
,,,,CA,,
,,,,CO,,
,,,,DC,,
,,,,DE,,
,,,,ESC,,
,,,,GA,,
,,,,HI,,
,,,,IA,,
,,,,ID,,
period,stateid,stateDescription,sectorid,sectorName,price,price-units
2019,AK,Alaska,COM,commercial,19.8,cents per kilowatthour
2019,PA,Pennsylvania,ALL,all sectors,9.81,cents per kilowatthour
2019,OR,Oregon,TRA,transportation,9.14,cents per kilowatthour
2019,OR,Oregon,RES,residential,11.01,cents per kilowatthour
2019,OR,Oregon,OTH,other,,cents per kilowatthour
2019,OR,Oregon,IND,industrial,5.86,cents per kilowatthour
2019,OR,Oregon,COM,commercial,8.85,cents per kilowatthour
2019,OR,Oregon,ALL,all sectors,8.81,cents per kilowatthour
2019,OK,Oklahoma,TRA,transportation,0,cents per kilowatthour
2019,OK,Oklahoma,RES,residential,10.21,cents per kilowatthour
2019,OK,Oklahoma,OTH,other,,cents per kilowatthour
2019,OK,Oklahoma,IND,industrial,5.07,cents per kilowatthour
2019,OK,Oklahoma,COM,commercial,7.98,cents per kilowatthour
2019,OK,Oklahoma,ALL,all sectors,7.86,cents per kilowatthour
2019,OH,Ohio,TRA,transportation,6.83,cents per kilowatthour
2019,OH,Ohio,RES,residential,12.38,cents per kilowatthour
2019,OH,Ohio,OTH,other,,cents per kilowatthour
2019,OH,Ohio,IND,industrial,6.55,cents per kilowatthour
2019,OH,Ohio,COM,commercial,9.72,cents per kilowatthour
2019,OH,Ohio,ALL,all sectors,9.58,cents per kilowatthour
2019,ND,North Dakota,TRA,transportation,0,cents per kilowatthour
2019,ND,North Dakota,RES,residential,10.3,cents per kilowatthour
2019,ND,North Dakota,OTH,other,,cents per kilowatthour
2019,ND,North Dakota,IND,industrial,7.94,cents per kilowatthour
2019,ND,North Dakota,COM,commercial,9.01,cents per kilowatthour
2019,ND,North Dakota,ALL,all sectors,8.85,cents per kilowatthour
2019,NC,North Carolina,TRA,transportation,8.2,cents per kilowatthour
2019,NC,North Carolina,RES,residential,11.42,cents per kilowatthour
2019,NC,North Carolina,OTH,other,,cents per kilowatthour
2019,NC,North Carolina,IND,industrial,6.3,cents per kilowatthour
2019,NC,North Carolina,COM,commercial,8.81,cents per kilowatthour
2019,NC,North Carolina,ALL,all sectors,9.45,cents per kilowatthour
2019,NY,New York,TRA,transportation,12.28,cents per kilowatthour
2019,NY,New York,RES,residential,17.94,cents per kilowatthour
2019,NY,New York,OTH,other,,cents per kilowatthour
2019,NY,New York,IND,industrial,5.61,cents per kilowatthour
2019,NY,New York,COM,commercial,14.06,cents per kilowatthour
2019,NY,New York,ALL,all sectors,14.34,cents per kilowatthour
2019,NM,New Mexico,TRA,transportation,0,cents per kilowatthour
2019,NM,New Mexico,RES,residential,12.51,cents per kilowatthour
2019,NM,New Mexico,OTH,other,,cents per kilowatthour
2019,NM,New Mexico,IND,industrial,5.48,cents per kilowatthour
2019,NM,New Mexico,COM,commercial,9.79,cents per kilowatthour
2019,NM,New Mexico,ALL,all sectors,8.99,cents per kilowatthour
2019,NJ,New Jersey,TRA,transportation,8.8,cents per kilowatthour
2019,NJ,New Jersey,RES,residential,15.85,cents per kilowatthour
2019,NJ,New Jersey,OTH,other,,cents per kilowatthour
2019,NJ,New Jersey,IND,industrial,10.16,cents per kilowatthour
2019,NJ,New Jersey,COM,commercial,12.23,cents per kilowatthour
2019,NJ,New Jersey,ALL,all sectors,13.42,cents per kilowatthour
2019,NH,New Hampshire,TRA,transportation,0,cents per kilowatthour
2019,NH,New Hampshire,RES,residential,20.05,cents per kilowatthour
2019,NH,New Hampshire,OTH,other,,cents per kilowatthour
2019,NH,New Hampshire,IND,industrial,13.09,cents per kilowatthour
2019,NH,New Hampshire,COM,commercial,15.93,cents per kilowatthour
2019,NH,New Hampshire,ALL,all sectors,17.15,cents per kilowatthour
2019,NV,Nevada,TRA,transportation,8.51,cents per kilowatthour
2019,NV,Nevada,RES,residential,12,cents per kilowatthour
2019,NV,Nevada,OTH,other,,cents per kilowatthour
2019,NV,Nevada,IND,industrial,6.14,cents per kilowatthour
2019,NV,Nevada,COM,commercial,8.04,cents per kilowatthour
2019,NV,Nevada,ALL,all sectors,8.78,cents per kilowatthour
2019,NE,Nebraska,TRA,transportation,0,cents per kilowatthour
2019,NE,Nebraska,RES,residential,10.77,cents per kilowatthour
2019,NE,Nebraska,OTH,other,,cents per kilowatthour
2019,NE,Nebraska,IND,industrial,7.65,cents per kilowatthour
2019,NE,Nebraska,COM,commercial,8.85,cents per kilowatthour
2019,NE,Nebraska,ALL,all sectors,9.08,cents per kilowatthour
2019,MT,Montana,TRA,transportation,0,cents per kilowatthour
2019,MT,Montana,RES,residential,11.13,cents per kilowatthour
2019,MT,Montana,OTH,other,,cents per kilowatthour
2019,MT,Montana,IND,industrial,5.45,cents per kilowatthour
2019,MT,Montana,COM,commercial,10.41,cents per kilowatthour
2019,MT,Montana,ALL,all sectors,9.02,cents per kilowatthour
2019,MO,Missouri,TRA,transportation,7.89,cents per kilowatthour
2019,MO,Missouri,RES,residential,11.14,cents per kilowatthour
2019,MO,Missouri,OTH,other,,cents per kilowatthour
2019,MO,Missouri,IND,industrial,7.11,cents per kilowatthour
2019,MO,Missouri,COM,commercial,9.07,cents per kilowatthour
2019,MO,Missouri,ALL,all sectors,9.68,cents per kilowatthour
2019,MS,Mississippi,TRA,transportation,0,cents per kilowatthour
2019,MS,Mississippi,RES,residential,11.27,cents per kilowatthour
2019,MS,Mississippi,OTH,other,,cents per kilowatthour
2019,MS,Mississippi,IND,industrial,5.85,cents per kilowatthour
2019,MS,Mississippi,COM,commercial,10.52,cents per kilowatthour
2019,MS,Mississippi,ALL,all sectors,9.28,cents per kilowatthour
2019,MN,Minnesota,TRA,transportation,9.49,cents per kilowatthour
2019,MN,Minnesota,RES,residential,13.04,cents per kilowatthour
2019,MN,Minnesota,OTH,other,,cents per kilowatthour
2019,MN,Minnesota,IND,industrial,7.53,cents per kilowatthour
2019,MN,Minnesota,COM,commercial,10.34,cents per kilowatthour
2019,MN,Minnesota,ALL,all sectors,10.33,cents per kilowatthour
2019,MI,Michigan,TRA,transportation,10.56,cents per kilowatthour
2019,MI,Michigan,RES,residential,15.74,cents per kilowatthour
2019,MI,Michigan,OTH,other,,cents per kilowatthour
2019,MI,Michigan,IND,industrial,7.07,cents per kilowatthour
2019,MI,Michigan,COM,commercial,11.39,cents per kilowatthour
2019,MI,Michigan,ALL,all sectors,11.56,cents per kilowatthour
2019,MA,Massachusetts,TRA,transportation,6.15,cents per kilowatthour
2019,MA,Massachusetts,RES,residential,21.92,cents per kilowatthour
2019,MA,Massachusetts,OTH,other,,cents per kilowatthour
2019,MA,Massachusetts,IND,industrial,14.76,cents per kilowatthour
2019,MA,Massachusetts,COM,commercial,16.8,cents per kilowatthour
2019,MA,Massachusetts,ALL,all sectors,18.4,cents per kilowatthour
2019,MD,Maryland,TRA,transportation,7.37,cents per kilowatthour
2019,MD,Maryland,RES,residential,13.12,cents per kilowatthour
2019,MD,Maryland,OTH,other,,cents per kilowatthour
2019,MD,Maryland,IND,industrial,7.8,cents per kilowatthour
2019,MD,Maryland,COM,commercial,9.97,cents per kilowatthour
2019,MD,Maryland,ALL,all sectors,11.24,cents per kilowatthour
2019,ME,Maine,TRA,transportation,0,cents per kilowatthour
2019,ME,Maine,RES,residential,17.89,cents per kilowatthour
2019,ME,Maine,OTH,other,,cents per kilowatthour
2019,ME,Maine,IND,industrial,9.22,cents per kilowatthour
2019,ME,Maine,COM,commercial,12.83,cents per kilowatthour
2019,ME,Maine,ALL,all sectors,14.04,cents per kilowatthour
